official_symbol,aka
ADNP,ADNP1
ADNP,HVDAS
ADNP,MRD28
ADNP2,ZNF508
AEBP1,ACLP
AHCTF1,ELYS
AHCTF1,MST108
AHCTF1,TMBS62
AHCTF1,MSTP108
AHDC1,MRD25
AHDC1,XIGIS
AHR,RP85
AHR,bHLHe76
AHRR,AHH
AHRR,AHHR
AHRR,bHLHe77
AIRE,APS1
AIRE,APSI
AIRE,PGA1
AIRE,AIRE1
AIRE,APECED
AKAP8,AKAP-8
AKAP8,AKAP95
AKAP8,AKAP 95
AKAP8,AKAP-95
AKAP8L,HA95
AKAP8L,HAP95
AKAP8L,NAKAP
AKAP8L,NAKAP95
ALX1,FND3
ALX1,CART1
ALX1,HEL23
ALX3,FND
ALX3,FND1
ALX4,CRS5
ALX4,FND2
ANKZF1,Vms1
ANKZF1,ZNF744
AR,KD
AR,AIS
AR,AR8
AR,TFM
AR,DHTR
AR,SBMA
AR,HYSP1
AR,NR3C4
AR,SMAX1
AR,HUMARA
ARHGAP35,GRF-1
ARHGAP35,GRLF1
ARHGAP35,P190A
ARHGAP35,P190-A
ARHGAP35,p190RhoGAP
ARHGAP35,p190ARhoGAP
ARID2,CSS6
ARID2,p200
ARID2,BAF200
ARID2,SMARCF3
ARID3A,DRIL1
ARID3A,DRIL3
ARID3A,BRIGHT
ARID3A,E2FBP1
ARID3B,BDP
ARID3B,DRIL2
ARID5A,MRF1
ARID5A,MRF-1
ARID5A,RP11-363D14
ARID5B,MRF2
ARID5B,DESRT
ARID5B,MRF-2
ARNT,HIF1B
ARNT,TANGO
ARNT,bHLHe2
ARNT,HIF1BETA
ARNT,HIF-1beta
ARNT,HIF1-beta
ARNT,HIF-1-beta
ARNT2,WEDAS
ARNT2,bHLHe1
ARNTL,TIC
ARNTL,JAP3
ARNTL,MOP3
ARNTL,BMAL1
ARNTL,PASD3
ARNTL,BMAL1c
ARNTL,bHLHe5
ARNTL2,CLIF
ARNTL2,MOP9
ARNTL2,BMAL2
ARNTL2,PASD9
ARNTL2,bHLHe6
ARX,ISSX
ARX,PRTS
ARX,CT121
ARX,EIEE1
ARX,MRX29
ARX,MRX32
ARX,MRX33
ARX,MRX36
ARX,MRX38
ARX,MRX43
ARX,MRX54
ARX,MRX76
ARX,MRX87
ARX,MRXS1
ASCL1,ASH1
ASCL1,HASH1
ASCL1,MASH1
ASCL1,bHLHa46
ASCL2,ASH2
ASCL2,HASH2
ASCL2,MASH2
ASCL2,bHLHa45
ASCL3,SGN1
ASCL3,HASH3
ASCL3,bHLHa42
ASCL4,ASH-4
ASCL4,HASH4
ASCL4,bHLHa44
ASCL5,ASH-5
ASCL5,bHLHa47
ASH1L,ASH1
ASH1L,KMT2H
ASH1L,MRD52
ASH1L,ASH1L1
ATF1,TREB36
ATF1,EWS-ATF1
ATF1,FUS/ATF-1
ATF2,HB16
ATF2,CREB2
ATF2,TREB7
ATF2,CREB-2
ATF2,CRE-BP1
ATF4,CREB2
ATF4,TXREB
ATF4,CREB-2
ATF4,TAXREB67
ATF5,ATFX
ATF5,HMFN0395
ATF6,ACHM7
ATF6,ATF6A
ATF6B,G13
ATF6B,CREBL1
ATF6B,CREB-RP
ATF7,ATFA
ATMIN,ASCIZ
ATMIN,ZNF822
ATOH1,ATH1
ATOH1,HATH1
ATOH1,MATH-1
ATOH1,bHLHa14
ATOH7,Math5
ATOH7,NCRNA
ATOH7,RNANC
ATOH7,PHPVAR
ATOH7,bHLHa13
ATOH8,HATH6
ATOH8,bHLHa21
BACH1,BACH-1
BACH1,BTBD24
BACH2,IMD60
BACH2,BTBD25
BATF,SFA2
BATF,B-ATF
BATF,BATF1
BATF,SFA-2
BATF2,SARI
BATF3,JDP1
BATF3,SNFT
BATF3,JUNDM1
BAZ2A,TIP5
BAZ2A,WALp3
BAZ2B,WALp4
BBX,HBP2
BBX,ARTC1
BBX,MDS001
BBX,HSPC339
BCL6,BCL5
BCL6,LAZ3
BCL6,BCL6A
BCL6,ZNF51
BCL6,ZBTB27
BCL6B,BAZF
BCL6B,ZNF62
BCL6B,ZBTB28
BCL11A,EVI9
BCL11A,CTIP1
BCL11A,DILOS
BCL11A,ZNF856
BCL11A,HBFQTL5
BCL11A,SMARCM1
BCL11A,BCL11A-L
BCL11A,BCL11A-S
BCL11A,BCL11a-M
BCL11A,BCL11A-XL
BCL11B,ATL1
BCL11B,RIT1
BCL11B,CTIP2
BCL11B,IMD49
BCL11B,CTIP-2
BCL11B,IDDFSTA
BCL11B,SMARCM2
BCL11B,ZNF856B
BCL11B,ATL1-beta
BCL11B,ATL1-alpha
BCL11B,ATL1-delta
BCL11B,ATL1-gamma
BCL11B,hRIT1-alpha
BHLHA9,CCSPD
BHLHA9,BHLHF42
BHLHA15,MIST1
BHLHA15,BHLHB8
BHLHE22,Beta3
BHLHE22,BHLHB5
BHLHE22,Beta3a
BHLHE22,CAGL85
BHLHE22,TNRC20
BHLHE23,BETA4
BHLHE23,BHLHB4
BHLHE23,Beta3b
BHLHE23,bA305P22.3
BHLHE40,DEC1
BHLHE40,HLHB2
BHLHE40,BHLHB2
BHLHE40,Clast5
BHLHE40,SHARP2
BHLHE40,STRA13
BHLHE40,Stra14
BHLHE40,SHARP-2
BHLHE41,DEC2
BHLHE41,FNSS1
BHLHE41,hDEC2
BHLHE41,BHLHB3
BHLHE41,SHARP1
BNC1,BNC
BNC1,BSN1
BNC1,POF16
BNC1,HsT19447
BNC2,BSN2
BNC2,LUTO
BPTF,FAC1
BPTF,FALZ
BPTF,NEDDFL
BPTF,NURF301
BRF2,BRFU
BRF2,TFIIIB50
BSX,BSX1
CAMTA1,CANPMR
CARF,ALS2CR8
CARF,NYD-SP24
CASZ1,CST
CASZ1,SRG
CASZ1,CAS11
CASZ1,ZNF693
CASZ1,dJ734G22.1
CBLL2,CT138
CBLL2,HAKAIL
CBLL2,ZNF645
CBX2,M33
CBX2,CDCA6
CBX2,SRXY5
CC2D1A,Lgd2
CC2D1A,MRT3
CC2D1A,TAPE
CC2D1A,Aki-1
CC2D1A,FREUD-1
CC2D1A,Freud-1/Aki1
CDC5L,CDC5
CDC5L,CEF1
CDC5L,PCDC5RP
CDC5L,CDC5-LIKE
CDC5L,dJ319D22.1
CDX2,CDX3
CDX2,CDX-3
CDX2,CDX2/AS
CEBPA,CEBP
CEBPA,C/EBP-alpha
CEBPB,TCF5
CEBPB,IL6DBP
CEBPB,NF-IL6
CEBPB,C/EBP-beta
CEBPD,CELF
CEBPD,CRP3
CEBPD,C/EBP-delta
CEBPD,NF-IL6-beta
CEBPE,CRP1
CEBPE,C/EBP-epsilon
CEBPE,c/EBP epsilon
CEBPG,GPE1BP
CEBPG,IG/EBP-1
CEBPZ,CBF
CEBPZ,CBF2
CEBPZ,NOC1
CEBPZ,HSP-CBF
CENPA,CenH3
CENPA,CENP-A
CENPS,MHF1
CENPS,APITD1
CENPS,CENP-S
CENPS,FAAP16
CENPT,SSMGA
CENPT,CENP-T
CENPT,C16orf56
CENPX,D9
CENPX,MHF2
CENPX,CENP-X
CENPX,FAAP10
CENPX,STRA13
CGGBP1,CGGBP
CGGBP1,p20-CGGBP
CHAMP1,CAMP
CHAMP1,CHAMP
CHAMP1,MRD40
CHAMP1,ZNF828
CHAMP1,C13orf8
CHCHD3,Mic19
CHCHD3,MINOS3
CHCHD3,MICOS19
CHCHD3,PPP1R22
CIC,MRD45
CLOCK,KAT13D
CLOCK,bHLHe8
CPEB1,CPEB
CPEB1,CPEB-1
CPEB1,h-CPEB
CPEB1,CPE-BP1
CPEB1,hCPEB-1
CPXCR1,CT77
CREB1,CREB
CREB1,CREB-1
CREB3,LZIP
CREB3,LUMAN
CREB3,sLZIP
CREB3L1,OI16
CREB3L1,OASIS
CREB3L2,BBF2H7
CREB3L3,CREBH
CREB3L3,HYTG2
CREB3L3,CREB-H
CREB3L3,HYST1481
CREB3L4,JAL
CREB3L4,hJAL
CREB3L4,ATCE1
CREB3L4,CREB3
CREB3L4,CREB4
CREB3L4,AIBZIP
CREB5,CREB-5
CREB5,CREBPA
CREB5,CRE-BPA
CREBZF,ZF
CREBZF,SMILE
CREM,ICER
CREM,CREM-2
CREM,hCREM-2
CRX,CRD
CRX,LCA7
CRX,OTX3
CRX,CORD2
CSRNP1,AXUD1
CSRNP1,URAX1
CSRNP1,TAIP-3
CSRNP1,CSRNP-1
CSRNP1,FAM130B
CSRNP2,C12orf2
CSRNP2,PPP1R72
CSRNP2,TAIP-12
CSRNP2,C12orf22
CSRNP2,FAM130A1
CSRNP3,TAIP2
CSRNP3,TAIP-2
CSRNP3,PPP1R73
CSRNP3,FAM130A2
CTCF,MRD21
CTCF,FAP108
CTCF,CFAP108
CTCFL,CT27
CTCFL,BORIS
CTCFL,CTCF-T
CTCFL,HMGB1L1
CTCFL,dJ579F20.2
CUX2,CDP2
CUX2,CUTL2
CUX2,DEE67
CUX2,EIEE67
CXXC1,CFP1
CXXC1,CGBP
CXXC1,SPP1
CXXC1,PCCX1
CXXC1,PHF18
CXXC1,hCGBP
CXXC1,ZCGPC1
CXXC1,HsT2645
CXXC1,2410002I16Rik
CXXC1,5830420C16Rik
CXXC4,IDAX
CXXC5,CF5
CXXC5,WID
CXXC5,RINF
CXXC5,HSPC195
DACH1,DACH
DBP,DABP
DBP,taxREB302
DEAF1,SPN
DEAF1,NUDR
DEAF1,VSVS
DEAF1,MRD24
DEAF1,ZMYND5
DEAF1,NEDHELS
DLX2,TES1
DLX2,TES-1
DLX3,AI4
DLX3,TDO
DLX4,BP1
DLX4,DLX7
DLX4,DLX8
DLX4,DLX9
DLX4,OFC15
DLX5,SHFM1
DLX5,SHFM1D
DMBX1,MBX
DMBX1,OTX3
DMBX1,PAXB
DMRT1,DMT1
DMRT1,CT154
DMRT2,DSXL-2
DMRT3,DMRTA3
DMRTA1,DMO
DMRTA1,DMRT4
DMTF1,DMP1
DMTF1,DMTF
DMTF1,MRUL
DMTF1,hDMP1
DNMT1,AIM
DNMT1,DNMT
DNMT1,MCMT
DNMT1,CXXC9
DNMT1,HSN1E
DNMT1,ADCADN
DNMT1,m.HsaI
DNTTIP1,Tdif1
DNTTIP1,C20orf167
DNTTIP1,dJ447F3.4
DOT1L,DOT1
DOT1L,KMT4
DPF1,NEUD4
DPF1,BAF45b
DPF1,SMARCG1
DPF1,neuro-d4
DPF3,CERD4
DPF3,BAF45C
DPF3,SMARCG3
DR1,NC2
DR1,NC2B
DR1,NCB2
DR1,NC2-BETA
DRAP1,NC2-alpha
DRGX,DRG11
DRGX,PRRXL1
DUX4,DUX4L
DZIP1,DZIP
DZIP1,MVP3
DZIP1,DZIPt1
DZIP1,SPGF47
E2F1,RBP3
E2F1,E2F-1
E2F1,RBAP1
E2F1,RBBP3
E2F2,E2F-2
E2F3,E2F-3
E2F4,E2F-4
E2F5,E2F-5
E2F6,E2F-6
E2F8,E2F-8
E4F1,E4F
EBF1,EBF
EBF1,COE1
EBF1,OLF1
EBF1,O/E-1
EBF2,COE2
EBF2,OE-3
EBF2,EBF-2
EBF2,O/E-3
EBF3,COE3
EBF3,OE-2
EBF3,EBF-3
EBF3,HADDS
EBF3,O/E-2
EBF4,COE4
EBF4,OE-4
EBF4,O/E-4
EEA1,MST105
EEA1,ZFYVE2
EEA1,MSTP105
EGR1,TIS8
EGR1,AT225
EGR1,G0S30
EGR1,NGFI-A
EGR1,ZNF225
EGR1,KROX-24
EGR1,ZIF-268
EGR2,CHN1
EGR2,AT591
EGR2,CMT1D
EGR2,CMT4E
EGR2,KROX20
EGR3,EGR-3
EGR3,PILOT
EGR4,AT133
EGR4,NGFIC
EGR4,NGFI-C
EGR4,PAT133
EHF,ESE3
EHF,ESEJ
EHF,ESE3B
ELF1,RIA1
ELF1,EFTUD1
ELF2,EU32
ELF2,NERF
ELF2,NERF-2
ELF2,NERF-1A
ELF2,NERF-1B
ELF2,"NERF-1a,b"
ELF3,ERT
ELF3,ESX
ELF3,EPR-1
ELF3,ESE-1
ELF4,MEF
ELF4,ELFR
ELF5,ESE2
ELK3,ERP
ELK3,NET
ELK3,SAP2
ELK3,SAP-2
ELK4,SAP1
EN1,ENDOVESLB
EOMES,TBR2
EPAS1,HLF
EPAS1,MOP2
EPAS1,ECYT4
EPAS1,HIF2A
EPAS1,PASD2
EPAS1,bHLHe73
ERF,PE2
ERF,CRS4
ERF,PE-2
ERF,CHYTS
ERG,p55
ERG,erg-3
ESR1,ER
ESR1,ESR
ESR1,Era
ESR1,ESRA
ESR1,ESTRR
ESR1,NR3A1
ESR2,Erb
ESR2,ESRB
ESR2,ODG8
ESR2,ESTRB
ESR2,NR3A2
ESR2,ER-BETA
ESR2,ESR-BETA
ESRRA,ERR1
ESRRA,ERRa
ESRRA,ESRL1
ESRRA,NR3B1
ESRRA,ERRalpha
ESRRB,ERR2
ESRRB,ERRb
ESRRB,ESRL2
ESRRB,NR3B2
ESRRB,DFNB35
ESRRB,ERRbeta2
ESRRB,ERR beta-2
ESRRG,ERR3
ESRRG,ERRg
ESRRG,NR3B3
ESRRG,ERRgamma
ESRRG,ERR-gamma
ESX1,ESX1L
ESX1,ESXR1
ETS1,p54
ETS1,ETS-1
ETS1,EWSR2
ETS1,c-ets-1
ETS2,ETS2IT1
ETV1,ER81
ETV2,ER71
ETV2,ETSRP71
ETV3,PE1
ETV3,METS
ETV3,PE-1
ETV4,E1AF
ETV4,PEA3
ETV4,E1A-F
ETV4,PEAS3
ETV5,ERM
ETV6,TEL
ETV6,THC5
ETV6,TEL/ABL
ETV7,TEL2
ETV7,TELB
ETV7,TEL-2
EVX1,EVX-1
EVX2,EVX-2
FAM170A,ZNFD
FAM200B,C4orf53
FBXL19,Fbl19
FBXL19,CXXC11
FBXL19,JHDM1C
FERD3L,PTFB
FERD3L,NATO3
FERD3L,NTWIST
FERD3L,N-TWIST
FERD3L,bHLHa31
FEV,PET-1
FEV,HSRNAFEV
FEZF1,FEZ
FEZF1,HH22
FEZF1,ZNF312B
FEZF2,FEZ
FEZF2,TOF
FEZF2,FEZL
FEZF2,FKSG36
FEZF2,ZFP312
FEZF2,ZNF312
FIGLA,POF6
FIGLA,BHLHC8
FIGLA,FIGALPHA
FIZ1,ZNF798
FLI1,EWSR2
FLI1,SIC-1
FLI1,BDPLT21
FOS,p55
FOS,AP-1
FOS,C-FOS
FOSB,AP-1
FOSB,G0S3
FOSB,GOS3
FOSB,GOSB
FOSL1,FRA
FOSL1,FRA1
FOSL1,fra-1
FOSL2,FRA2
FOXA1,HNF3A
FOXA1,TCF3A
FOXA2,HNF3B
FOXA2,TCF3B
FOXA2,HNF-3-beta
FOXA3,FKHH3
FOXA3,HNF3G
FOXA3,TCF3G
FOXB1,FKH5
FOXB1,HFKH-5
FOXB2,bA159H20.4
FOXC1,ARA
FOXC1,IGDA
FOXC1,IHG1
FOXC1,ASGD3
FOXC1,FKHL7
FOXC1,IRID1
FOXC1,RIEG3
FOXC1,FREAC3
FOXC1,FREAC-3
FOXC2,LD
FOXC2,MFH1
FOXC2,MFH-1
FOXC2,FKHL14
FOXD1,FKHL8
FOXD1,FREAC4
FOXD1,FREAC-4
FOXD2,FKHL17
FOXD2,FREAC9
FOXD2,FREAC-9
FOXD3,AIS1
FOXD3,HFH2
FOXD3,VAMAS2
FOXD3,Genesis
FOXD4,FKHL9
FOXD4,FOXD4A
FOXD4,FREAC5
FOXD4,FREAC-5
FOXD4L1,FOXD5
FOXD4L1,bA395L14.1
FOXD4L3,FOXD6
FOXD4L3,FOXD4B
FOXD4L3,FOXD4L2
FOXD4L3,FOXD4L4
FOXD4L4,FOXD4b
FOXD4L4,FOXD4L2
FOXD4L4,bA460E7.2
FOXD4L5,bA15J10.2
FOXE1,TTF2
FOXE1,FOXE2
FOXE1,HFKH4
FOXE1,HFKL5
FOXE1,NMTC4
FOXE1,TITF2
FOXE1,TTF-2
FOXE1,FKHL15
FOXE3,AAT11
FOXE3,ASGD2
FOXE3,FKHL12
FOXE3,FREAC8
FOXE3,CTRCT34
FOXF1,FKHL5
FOXF1,ACDMPV
FOXF1,FREAC1
FOXF2,FKHL6
FOXF2,FREAC2
FOXF2,FREAC-2
FOXG1,BF1
FOXG1,BF2
FOXG1,QIN
FOXG1,FKH2
FOXG1,HBF2
FOXG1,HFK1
FOXG1,HFK2
FOXG1,HFK3
FOXG1,KHL2
FOXG1,FHKL3
FOXG1,FKHL1
FOXG1,FKHL2
FOXG1,FKHL3
FOXG1,FKHL4
FOXG1,HBF-1
FOXG1,HBF-2
FOXG1,HBF-3
FOXG1,FOXG1A
FOXG1,FOXG1B
FOXG1,FOXG1C
FOXG1,HBF-G2
FOXH1,FAST1
FOXH1,FAST-1
FOXI1,HFH3
FOXI1,FKH10
FOXI1,HFH-3
FOXI1,FKHL10
FOXI1,FREAC6
FOXI1,FREAC-6
FOXJ1,HFH4
FOXJ1,HFH-4
FOXJ1,CILD43
FOXJ1,FKHL13
FOXJ2,FHX
FOXK1,FOXK1L
FOXK2,ILF
FOXK2,ILF1
FOXK2,ILF-1
FOXK2,nGTBP
FOXL1,FKH6
FOXL1,FKHL11
FOXL1,FREAC7
FOXL2,BPES
FOXL2,PFRK
FOXL2,POF3
FOXL2,BPES1
FOXL2,PINTO
FOXM1,MPP2
FOXM1,HFH11
FOXM1,HNF-3
FOXM1,INS-1
FOXM1,MPP-2
FOXM1,PIG29
FOXM1,FKHL16
FOXM1,FOXM1A
FOXM1,FOXM1B
FOXM1,FOXM1C
FOXM1,HFH-11
FOXM1,TRIDENT
FOXM1,MPHOSPH2
FOXN1,WHN
FOXN1,RONU
FOXN1,TLIND
FOXN1,FKHL20
FOXN1,TIDAND
FOXN2,HTLF
FOXN3,CHES1
FOXN3,PRO1635
FOXN3,C14orf116
FOXO1,FKH1
FOXO1,FKHR
FOXO1,FOXO1A
FOXO3,FOXO2
FOXO3,AF6q21
FOXO3,FKHRL1
FOXO3,FOXO3A
FOXO3,FKHRL1P2
FOXO4,AFX
FOXO4,AFX1
FOXO4,MLLT7
FOXP1,MFH
FOXP1,QRF1
FOXP1,12CC4
FOXP1,hFKH1B
FOXP1,HSPC215
FOXP2,SPCH1
FOXP2,CAGH44
FOXP2,TNRC10
FOXP3,JM2
FOXP3,AIID
FOXP3,IPEX
FOXP3,PIDX
FOXP3,XPID
FOXP3,DIETER
FOXP4,hFKHLA
FOXQ1,HFH1
FOXR1,FOXN5
FOXR1,DLNB13
FOXR2,FOXN6
FOXS1,FKHL18
FOXS1,FREAC10
GABPA,NFT2
GABPA,NRF2
GABPA,NRF2A
GABPA,E4TF1A
GABPA,E4TF1-60
GABPA,RCH04A07
GATA1,GF1
GATA1,GF-1
GATA1,NFE1
GATA1,XLTT
GATA1,ERYF1
GATA1,NF-E1
GATA1,XLANP
GATA1,XLTDA
GATA1,GATA-1
GATA2,DCML
GATA2,IMD21
GATA2,NFE1B
GATA2,MONOMAC
GATA3,HDR
GATA3,HDRS
GATA4,TOF
GATA4,ASD2
GATA4,VSD1
GATA4,TACHD
GATA5,CHTD5
GATA5,GATAS
GATA5,bB379O24.1
GATAD2A,p66alpha
GATAD2B,p68
GATAD2B,GANDS
GATAD2B,MRD18
GATAD2B,P66beta
GBX1,Huh-17
GCM1,GCMA
GCM1,hGCMa
GCM2,FIH2
GCM2,GCMB
GCM2,HRPT4
GCM2,hGCMb
GFI1,SCN2
GFI1,GFI-1
GFI1,GFI1A
GFI1,ZNF163
GFI1B,BDPLT17
GFI1B,ZNF163B
GLI1,GLI
GLI1,PPD1
GLI1,PAPA8
GLI2,CJS
GLI2,HPE9
GLI2,PHS2
GLI2,THP1
GLI2,THP2
GLI3,PHS
GLI3,ACLS
GLI3,GCPS
GLI3,PAPA
GLI3,PAPB
GLI3,PAP-A
GLI3,PAPA1
GLI3,PPDIV
GLI3,GLI3FL
GLI3,GLI3-190
GLI4,HKR4
GLI4,ZNF928
GLIS2,NKL
GLIS2,NPHP7
GLIS3,NDH
GLIS3,ZNF515
GLMP,NCU-G1
GLMP,C1orf85
GLYR1,NP60
GLYR1,hNDF
GLYR1,BM045
GLYR1,HIBDL
GLYR1,N-PAC
GMEB1,PIF96
GMEB1,P96PIF
GMEB2,PIF79
GMEB2,GMEB-2
GMEB2,P79PIF
GPBP1,GPBP
GPBP1,SSH6
GPBP1,VASCULIN
GPBP1L1,SP192
GRHL1,MGR
GRHL1,NH32
GRHL1,LBP32
GRHL1,TFCP2L2
GRHL2,BOM
GRHL2,ECTDS
GRHL2,PPCD4
GRHL2,DFNA28
GRHL2,TFCP2L3
GRHL3,SOM
GRHL3,VWS2
GRHL3,TFCP2L4
GSC,SAMS
GSC2,GSCL
GSX1,GSH1
GSX1,Gsh-1
GSX2,GSH2
GSX2,DMJDS2
GTF2B,TF2B
GTF2B,TFIIB
GTF2I,WBS
GTF2I,DIWS
GTF2I,SPIN
GTF2I,IB291
GTF2I,BAP135
GTF2I,BTKAP1
GTF2I,TFII-I
GTF2I,WBSCR6
GTF2I,GTFII-I
GTF2IRD1,BEN
GTF2IRD1,WBS
GTF2IRD1,GTF3
GTF2IRD1,RBAP2
GTF2IRD1,CREAM1
GTF2IRD1,MUSTRD1
GTF2IRD1,WBSCR11
GTF2IRD1,WBSCR12
GTF2IRD1,hMusTRD1alpha1
GTF2IRD2,FP630
GTF2IRD2,GTF2IRD2A
GTF2IRD2,GTF2IRD2 alpha
GTF2IRD2B,GTF2IRD2
GTF2IRD2B,GTF2IRD2A
GTF3A,AP2
GTF3A,TFIIIA
GZF1,JLSM
GZF1,ZBTB23
GZF1,ZNF336
HAND1,Hxt
HAND1,eHand
HAND1,Thing1
HAND1,bHLHa27
HAND2,Hed
HAND2,dHand
HAND2,DHAND2
HAND2,Thing2
HAND2,bHLHa26
HDX,CXorf43
HDX,D030011N01Rik
HELT,Mgn
HELT,HESL
HELT,HCM1228
HELT,bHLHb44
HES1,HHL
HES1,HRY
HES1,HES-1
HES1,bHLHb39
HES2,bHLHb40
HES3,bHLHb43
HES4,bHLHb42
HES5,bHLHb38
HES6,HES-6
HES6,bHLHb41
HES6,bHLHc23
HES6,C-HAIRY1
HES7,SCDO4
